Hotel_ID;Hotel_Location;Hotel_Location_Category;Number_Of_Rooms;Hotel_Size;Hotel_Size_Category;Product_ID;Customer_Income_Level;Income_Level_Category;Booking_Date_Adjusted;Check_In_Date_Adjusted;Check_Out_Date_Adjusted;Distribution_Channel_number;Distribution_Channel;Advance_Purchase_Adjusted;Party_Size;Party_Size_Description;Party_Size_Category;Length_of_Stay_Adjusted;Nightly_Rate_Category;Nightly_Rate;Total_Revenue;Rate_number;Rate_number_description;Room_Type_number;Room_Type_number_description;Merge_Indicator;Membership_Status;VIP_Membership_Status
1;Urban/Downtown;1;670;Big;3;1;High;3;11/01/2007;19/03/2007;23/03/2007;1;CRO/Hotel;67;1;Single;1;4;4;529;2116;2;Rack Rate - Unrestricted Rate;3; Suites;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;11/10/2006;16/03/2007;24/03/2007;1;CRO/Hotel;156;1;Single;1;8;3;299;2392;2;Rack Rate - Unrestricted Rate;2; King Room;0;3;1
1;Urban/Downtown;1;670;Big;3;1;High;3;10/10/2006;24/03/2007;29/03/2007;1;CRO/Hotel;165;1;Single;1;5;3;289;1445;2;Rack Rate - Unrestricted Rate;3; Suites;0;3;1
1;Urban/Downtown;1;670;Big;3;1;High;3;08/12/2006;19/03/2007;23/03/2007;1;CRO/Hotel;101;1;Single;1;4;4;629;2516;2;Rack Rate - Unrestricted Rate;3; Suites;0;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;19/04/2006;19/03/2007;23/03/2007;1;CRO/Hotel;334;1;Single;1;4;2;110;440;2;Rack Rate - Unrestricted Rate;3; Suites;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;26/04/2006;19/03/2007;23/03/2007;1;CRO/Hotel;327;1;Single;1;4;4;579;2316;2;Rack Rate - Unrestricted Rate;3; Suites;0;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;03/04/2006;19/03/2007;22/03/2007;1;CRO/Hotel;350;1;Single;1;3;4;489;1467;2;Rack Rate - Unrestricted Rate;3; Suites;0;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;03/04/2006;19/03/2007;23/03/2007;1;CRO/Hotel;350;1;Single;1;4;3;200;800;2;Rack Rate - Unrestricted Rate;3; Suites;0;1;0
1;Urban/Downtown;1;670;Big;3;3;High;3;08/04/2007;09/04/2007;10/04/2007;3;WEB;1;1;Single;1;1;4;359;359;2;Rack Rate - Unrestricted Rate;2; King Room;1;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;01/02/2007;14/03/2007;18/03/2007;3;WEB;41;1;Single;1;4;4;360;1440;1;"Advance Purchase. Requires at least 7 day Advance Purchase; Fully Restricted Rate";2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;19/04/2006;18/03/2007;24/03/2007;1;CRO/Hotel;333;1;Single;1;6;4;389;2334;2;Rack Rate - Unrestricted Rate;2; King Room;0;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/02/2007;01/04/2007;07/04/2007;1;CRO/Hotel;58;2;Double;2;6;4;469;2814;2;Rack Rate - Unrestricted Rate;3; Suites;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;02/02/2007;20/03/2007;21/03/2007;2;GDS;46;1;Single;1;1;4;419;419;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;10/12/2006;09/04/2007;14/04/2007;1;CRO/Hotel;120;1;Single;1;5;4;499;2495;2;Rack Rate - Unrestricted Rate;3; Suites;0;3;1
1;Urban/Downtown;1;670;Big;3;1;High;3;03/02/2007;15/03/2007;18/03/2007;3;WEB;40;2;Double;2;3;4;360;1080;1;"Advance Purchase. Requires at least 7 day Advance Purchase; Fully Restricted Rate";2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;11/04/2007;10/04/2007;11/04/2007;1;CRO/Hotel;-1;1;Single;1;1;3;283;283;2;Rack Rate - Unrestricted Rate;5; Queen Rooms;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;03/02/2007;23/03/2007;26/03/2007;1;CRO/Hotel;48;2;Double;2;3;3;299;897;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;11/01/2007;19/03/2007;23/03/2007;1;CRO/Hotel;67;1;Single;1;4;4;429;1716;2;Rack Rate - Unrestricted Rate;2; King Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;18/12/2006;01/04/2007;04/04/2007;3;WEB;104;1;Single;1;3;3;252;756;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";5; Queen Rooms;0;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;10/04/2007;11/04/2007;1;CRO/Hotel;5;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;10/04/2007;11/04/2007;1;CRO/Hotel;5;1;Single;1;1;4;439;439;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/04/2007;10/04/2007;11/04/2007;2;GDS;5;1;Single;1;1;4;399;399;2;Rack Rate - Unrestricted Rate;4; Special Type Room 1;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;04/02/2007;23/03/2007;27/03/2007;1;CRO/Hotel;47;2;Double;2;4;3;299;1196;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;04/02/2007;16/03/2007;19/03/2007;1;CRO/Hotel;40;1;Single;1;3;3;269;807;2;Rack Rate - Unrestricted Rate;2; King Room;0;3;2
1;Urban/Downtown;1;670;Big;3;1;High;3;04/02/2007;05/04/2007;10/04/2007;1;CRO/Hotel;60;1;Single;1;5;4;469;2345;2;Rack Rate - Unrestricted Rate;3; Suites;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;13/10/2006;15/03/2007;17/03/2007;3;WEB;153;2;Double;2;2;4;360;720;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";2; King Room;0;3;0
1;Urban/Downtown;1;670;Big;3;1;High;3;04/02/2007;11/04/2007;14/04/2007;3;WEB;66;2;Double;2;3;4;360;1080;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";2; King Room;0;1;0
1;Urban/Downtown;1;670;Big;3;2;High;3;05/04/2007;09/04/2007;11/04/2007;1;CRO/Hotel;4;1;Single;1;2;4;419;838;2;Rack Rate - Unrestricted Rate;2; King Room;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;04/02/2007;02/04/2007;07/04/2007;3;WEB;57;2;Double;2;5;4;423;2115;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";3; Suites;0;1;1
1;Urban/Downtown;1;670;Big;3;5;High;3;09/04/2007;10/04/2007;11/04/2007;3;WEB;1;1;Single;1;1;4;499;499;2;Rack Rate - Unrestricted Rate;3; Suites;1;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/02/2007;16/03/2007;17/03/2007;1;CRO/Hotel;39;2;Double;2;1;3;299;299;2;Rack Rate - Unrestricted Rate;1; Double Beds Room;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/02/2007;28/03/2007;01/04/2007;1;CRO/Hotel;51;1;Single;1;4;4;387;1548;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";2; King Room;0;1;0
1;Urban/Downtown;1;670;Big;3;1;High;3;11/04/2007;11/04/2007;12/04/2007;1;CRO/Hotel;0;1;Single;1;1;4;599;599;2;Rack Rate - Unrestricted Rate;3; Suites;0;0;0
1;Urban/Downtown;1;670;Big;3;1;High;3;05/02/2007;28/03/2007;01/04/2007;1;CRO/Hotel;51;2;Double;2;4;4;396;1584;1;"Advance Purchase . Requires at least 7 day Advance Purchase; Fully Restricted Rate";1; Double Beds Room;0;1;0
